"","X","Q","Other","Self","Percentile","Subject"
"590","X14.36",14,1,0.75,0.5,37
"591","X15.36",15,1,1,0.5,37
"592","X16.36",16,0.25,0.25,0.5,37
"593","X1.37",1,0.8,1,0.67,38
"594","X2.37",2,0.4,0.4,0.67,38
"595","X3.37",3,0.65,1,0.67,38
"596","X4.37",4,0.7,1,0.67,38
"597","X5.37",5,0.4,0.4,0.67,38
"598","X6.37",6,0.8,1,0.67,38
"599","X7.37",7,0.7,0.4,0.67,38
"600","X8.37",8,0.8,0.8,0.67,38
"601","X9.37",9,0.2,0.6,0.67,38
"602","X10.37",10,0.3,0.3,0.67,38
"603","X11.37",11,0.55,0.4,0.67,38
"604","X12.37",12,0.3,0.3,0.67,38
"605","X13.37",13,1,1,0.67,38
